Time,RTO
588.336,6.94203
588.462,6.45989
588.588,6.05586
588.778,5.6606
588.967,5.28541
589.093,4.93708
589.219,4.67437
589.345,4.53088
589.471,4.41838
589.597,4.39951
589.723,4.37377
589.849,4.34432
590.038,4.38423
590.164,4.39951
590.291,4.39702
590.417,4.38405
590.543,4.43547
590.669,4.45864
590.795,4.39166
590.921,4.40741
591.047,4.40917
591.173,4.4006
591.299,4.45639
591.425,4.48378
591.551,4.42079
591.677,4.36936
591.804,4.32713
591.93,4.29114
592.056,4.26145
592.182,4.37857
592.308,4.30883
592.434,4.25643
592.56,4.35995
592.686,4.31064
592.812,4.38822
592.938,4.36312
593.064,4.41121
593.19,4.43692
593.316,4.44714
593.443,4.44688
593.569,4.43973
593.695,4.42718
593.821,4.41257
593.947,4.39705
594.073,4.38143
594.199,4.43823
594.325,4.47077
594.451,4.48639
594.577,4.49041
594.703,4.62844
594.829,4.71229
594.956,4.75796
595.082,4.91891
595.208,5.01265
595.334,5.05937
595.46,5.21552
595.586,5.30079
595.712,5.33688
595.838,5.33957
595.964,5.462
596.09,5.52138
596.216,5.53752
596.342,5.66654
596.468,5.72778
596.595,5.74264
596.721,5.86833
596.847,5.92503
596.973,5.93467
597.099,6.05489
597.225,6.10609
597.351,6.11154
597.477,6.22744
597.603,6.27439
597.729,6.27463
597.855,6.38595
597.981,6.42776
598.108,6.42374
598.234,6.53151
598.36,6.57147
598.486,6.56568
598.612,6.6718
598.738,6.71022
598.864,6.70415
598.99,6.80972
599.116,6.84745
599.242,6.83948
599.368,6.94351
599.494,6.97999
599.62,6.97099
599.747,7.07418
599.873,7.10995
599.999,7.10037
600.125,7.20307
600.251,7.23843
600.377,7.22737
600.503,7.33017
600.629,7.36556
600.755,7.35561
600.881,7.45797
601.007,7.49302
601.133,7.4828
601.26,7.58495
601.386,7.61982
601.512,7.60947
601.638,7.7115
601.764,7.74629
601.89,7.73586
602.016,7.83896
602.142,7.87443
602.268,7.86442
602.394,7.96661
602.52,8.00144
617.582,16.0029
623.324,8.00144
641.337,16.0029
648.213,8.00144
666.278,16.0029
673.154,8.00144
697.018,16.0029
702.633,8.00144
727.392,16.0029
733.007,8.00144
757.261,16.0029
762.876,8.00144
785.933,16.0029
791.548,8.00144
812.335,16.0029
817.95,8.00144
834.892,16.0029
835.149,8.00144
873.844,10.7708
873.97,12.3481
874.159,13.0387
874.348,13.1278
874.537,12.8214
874.852,12.267
875.042,11.5691
875.168,10.8008
875.294,10.0674
875.42,9.32477
875.546,8.65631
875.672,8.00143
875.798,7.43394
875.924,6.94152
876.05,6.45864
876.176,6.05507
876.365,5.66012
876.555,5.28516
876.681,4.93699
876.807,4.67438
876.933,4.53084
877.059,4.41718
877.185,4.39755
877.311,4.37246
877.437,4.34349
877.626,4.38374
877.752,4.39925
877.878,4.39805
878.004,4.38592
878.131,4.43787
878.257,4.46021
878.383,4.39265
878.509,4.40798
878.635,4.40832
878.761,4.39882
878.887,4.45515
879.013,4.48292
879.139,4.42021
879.265,4.36899
879.391,4.32691
879.517,4.29214
879.644,4.26326
879.77,4.38089
879.896,4.31031
880.022,4.25732
880.148,4.35929
880.274,4.31109
880.4,4.38861
880.526,4.36347
880.652,4.41152
880.778,4.43719
880.904,4.44737
881.03,4.44708
881.156,4.43991
881.283,4.42846
881.409,4.41456
881.535,4.39835
881.661,4.38224
881.787,4.43757
881.913,4.46914
882.039,4.48526
882.165,4.48964
882.291,4.62793
882.417,4.71197
882.543,4.75778
882.669,4.91882
882.796,5.01263
882.922,5.05939
883.048,5.21557
883.174,5.30086
883.3,5.33695
883.426,5.33964
883.552,5.4632
883.678,5.52219
883.804,5.53805
883.93,5.66686
884.056,5.72796
884.182,5.74271
884.308,5.86834
884.435,5.925
884.561,5.93461
884.687,6.05481
884.813,6.10601
884.939,6.11032
885.065,6.22549
885.191,6.27312
885.317,6.27384
885.443,6.3855
885.569,6.42867
885.695,6.42555
885.821,6.53388
885.948,6.57304
886.074,6.56668
886.2,6.67239
886.326,6.71053
886.452,6.70313
886.578,6.80784
886.704,6.84616
886.83,6.83861
886.956,6.94295
887.082,6.97964
887.208,6.97079
887.334,7.07409
887.46,7.10994
887.587,7.1004
887.713,7.20313
887.839,7.23851
887.965,7.22859
888.091,7.331
888.217,7.36611
888.343,7.35596
888.469,7.45817
888.595,7.49312
888.721,7.48284
888.847,7.58494
888.973,7.61978
889.1,7.60941
889.226,7.71143
889.352,7.74622
889.478,7.73579
889.604,7.83776
889.73,7.8725
889.856,7.86316
889.982,7.96584
890.108,8.001
905.17,16.002
910.911,8.001
928.924,16.002
935.801,8.001
953.865,16.002
960.741,8.001
984.605,16.002
990.221,8.001
1014.98,16.002
1020.59,8.001
1044.85,16.002
1050.46,8.001
1073.52,16.002
1079.14,8.001
1099.92,16.002
1105.54,8.001
1122.48,16.002
1122.74,8.001
1161.43,10.7703
1161.56,12.3475
1161.75,13.0382
1161.94,13.1265
1162.13,12.8205
1162.44,12.2663
1162.63,11.5686
1162.76,10.8005
1162.88,10.0672
1163.01,9.32462
1163.13,8.65621
1163.26,8.00226
1163.39,7.43531
1163.51,6.9423
1163.64,6.459
1163.76,6.05427
1163.95,5.65863
1164.14,5.28416
1164.27,4.93634
1164.39,4.67398
1164.52,4.53048
1164.65,4.41685
1164.77,4.39726
1164.9,4.37108
1165.02,4.3414
1165.21,4.38234
1165.34,4.39836
1165.47,4.39752
1165.59,4.38563
1165.72,4.43776
1165.84,4.46134
1165.97,4.39347
1166.1,4.40857
1166.22,4.40874
1166.35,4.39911
1166.47,4.45422
1166.6,4.48119
1166.73,4.41911
1166.85,4.36833
1166.98,4.32656
1167.11,4.29201
1167.23,4.26327
1167.36,4.38099
1167.48,4.31159
1167.61,4.25826
1167.74,4.35996
1167.86,4.31163
1167.99,4.38787
1168.11,4.36188
1168.24,4.41051
1168.37,4.4366
1168.49,4.44707
1168.62,4.44698
1168.74,4.43994
1168.87,4.42858
1169,4.41473
1169.12,4.39968
1169.25,4.38432
1169.37,4.43897
1169.5,4.47006
1169.63,4.48471
1169.75,4.48811
1169.88,4.62691
1170.01,4.71131
1170.13,4.75737
1170.26,4.91859
1170.38,5.01253
1170.51,5.05938
1170.64,5.21561
1170.76,5.30093
1170.89,5.33705
1171.01,5.33976
1171.14,5.4622
1171.27,5.52157
1171.39,5.53883
1171.52,5.66857
1171.64,5.72913
1171.77,5.74349
1171.9,5.86884
1172.02,5.9253
1172.15,5.93477
1172.27,6.05487
1172.4,6.106
1172.53,6.11028
1172.65,6.22542
1172.78,6.27191
1172.9,6.27189
1173.03,6.38422
1173.16,6.42787
1173.28,6.42508
1173.41,6.53365
1173.54,6.5741
1173.66,6.56858
1173.79,6.67482
1173.91,6.71213
1174.04,6.70415
1174.17,6.80844
1174.29,6.84533
1174.42,6.83684
1174.54,6.94171
1174.67,6.97879
1174.8,6.97023
1174.92,7.07373
1175.05,7.10972
1175.17,7.10029
1175.3,7.20309
1175.43,7.23851
1175.55,7.22862
1175.68,7.33105
1175.8,7.36617
1175.93,7.35603
1176.06,7.45825
1176.18,7.49432
1176.31,7.48364
1176.44,7.58545
1176.56,7.6201
1176.69,7.60959
1176.81,7.71151
1176.94,7.74622
1177.07,7.73575
1177.19,7.8377
1177.32,7.87242
1177.44,7.86195
1177.57,7.96389
1177.7,7.99972
1192.76,15.9994
1198.5,7.99972
1216.51,15.9994
1223.39,7.99972
1241.45,15.9994
1248.33,7.99972
1272.19,15.9994
1277.81,7.99972
1302.57,15.9994
1308.18,7.99972
1332.44,15.9994
1338.05,7.99972
1361.11,15.9994
1366.72,7.99972
1387.51,15.9994
1393.13,7.99972
1410.07,15.9994
1410.32,7.99972
1449.02,10.7691
1449.15,12.3465
1449.33,13.0372
1449.52,13.1265
1449.71,12.8202
1450.03,12.2659
1450.22,11.5681
1450.34,10.7999
1450.47,10.0666
1450.6,9.32406
1450.72,8.65568
1450.85,8.00175
1450.97,7.43484
1451.1,6.94274
1451.23,6.46
1451.35,6.0547
1451.54,5.65867
1451.73,5.28306
1451.86,4.93457
1451.98,4.67185
1452.11,4.52872
1452.23,4.4154
1452.36,4.39605
1452.49,4.37006
1452.61,4.34054
1452.8,4.3805
1452.93,4.39701
1453.05,4.39654
1453.18,4.38493
1453.31,4.43725
1453.43,4.46099
1453.56,4.39434
1453.68,4.41026
1453.81,4.41094
1453.94,4.40048
1454.06,4.45502
1454.19,4.48158
1454.31,4.41809
1454.44,4.36639
1454.57,4.32517
1454.69,4.29102
1454.82,4.26258
1454.95,4.38052
1455.07,4.31128
1455.2,4.25917
1455.32,4.3617
1455.45,4.31316
1455.58,4.38886
1455.7,4.36248
1455.83,4.40972
1455.95,4.43488
1456.08,4.4459
1456.21,4.44619
1456.33,4.43945
1456.46,4.42828
1456.58,4.41458
1456.71,4.39963
1456.84,4.38433
1456.96,4.44015
1457.09,4.472
1457.21,4.48599
1457.34,4.48893
1457.47,4.62626
1457.59,4.70969
1457.72,4.75626
1457.85,4.91785
1457.97,5.01205
1458.1,5.05909
1458.22,5.21546
1458.35,5.30087
1458.48,5.33705
1458.6,5.33979
1458.73,5.46226
1458.85,5.52165
1458.98,5.53779
1459.11,5.66679
1459.23,5.72915
1459.36,5.74472
1459.48,5.87085
1459.61,5.92667
1459.74,5.93568
1459.86,6.05544
1459.99,6.10634
1460.11,6.11045
1460.24,6.22548
1460.37,6.27189
1460.49,6.27182
1460.62,6.38299
1460.74,6.42589
1460.87,6.42376
1461,6.53281
1461.12,6.5736
1461.25,6.56832
1461.38,6.67472
1461.5,6.71327
1461.63,6.7061
1461.75,6.81088
1461.88,6.84694
1462.01,6.83785
1462.13,6.94117
1462.26,6.97722
1462.38,6.96912
1462.51,7.07295
1462.64,7.10919
1462.76,7.09994
1462.89,7.20287
1463.01,7.23839
1463.14,7.22856
1463.27,7.33103
1463.39,7.36618
1463.52,7.35606
1463.64,7.45829
1463.77,7.49324
1463.9,7.48295
1464.02,7.58617
1464.15,7.62175
1464.28,7.6107
1464.4,7.71223
1464.53,7.74667
1464.65,7.73601
1464.78,7.83782
1464.91,7.87245
1465.03,7.86191
1465.16,7.96381
1465.28,7.9985
1480.34,15.997
1486.09,7.9985
1504.1,15.997
1510.98,7.9985
1529.04,15.997
1535.92,7.9985
1559.78,15.997
1565.4,7.9985
1590.15,15.997
1595.77,7.9985
1620.02,15.997
1625.64,7.9985
1648.69,15.997
1654.31,7.9985
1675.1,15.997
1680.71,7.9985
1697.65,15.997
1697.91,7.9985
1736.61,10.7681
1736.73,12.3457
1736.92,13.0365
1737.11,13.1259
1737.3,12.8197
1737.62,12.2646
1737.81,11.5663
1737.93,10.7988
1738.06,10.066
1738.18,9.32377
1738.31,8.65561
1738.44,8.00183
1738.56,7.43501
1738.69,6.94297
1738.81,6.46026
1738.94,6.05585
1739.13,5.66033
1739.32,5.28411
1739.44,4.93517
1739.57,4.67215
1739.7,4.53017
1739.82,4.4176
1739.95,4.3987
1740.07,4.37183
1740.2,4.34168
1740.39,4.38119
1740.52,4.39626
1740.64,4.39483
1740.77,4.38374
1740.89,4.43644
1741.02,4.46045
1741.15,4.394
1741.27,4.41006
1741.4,4.41084
1741.52,4.40157
1741.65,4.45688
1741.78,4.48281
1741.9,4.41886
1742.03,4.36684
1742.15,4.32426
1742.28,4.28922
1742.41,4.26135
1742.53,4.3797
1742.66,4.31075
1742.79,4.25885
1742.91,4.36152
1743.04,4.31208
1743.16,4.38912
1743.29,4.36364
1743.42,4.41034
1743.54,4.43513
1743.67,4.44477
1743.79,4.44416
1743.92,4.43798
1744.05,4.42723
1744.17,4.41383
1744.3,4.39911
1744.42,4.38397
1744.55,4.43991
1744.68,4.47185
1744.8,4.48703
1744.93,4.49074
1745.05,4.62856
1745.18,4.71114
1745.31,4.75599
1745.43,4.91642
1745.56,5.011
1745.69,5.05832
1745.81,5.2149
1745.94,5.30046
1746.06,5.33676
1746.19,5.33959
1746.32,5.46211
1746.44,5.52155
1746.57,5.53772
1746.69,5.66675
1746.82,5.72799
1746.95,5.74284
1747.07,5.86966
1747.2,5.92708
1747.32,5.93716
1747.45,6.05762
1747.58,6.10781
1747.7,6.11141
1747.83,6.22607
1747.95,6.27222
1748.08,6.27196
1748.21,6.38302
1748.33,6.42584
1748.46,6.42254
1748.58,6.53082
1748.71,6.57226
1748.84,6.56745
1748.96,6.67419
1749.09,6.71298
1749.22,6.70597
1749.34,6.81087
1749.47,6.84812
1749.59,6.83981
1749.72,6.94362
1749.85,6.97881
1749.97,6.96898
1750.1,7.07165
1750.22,7.10826
1750.35,7.09928
1750.48,7.2024
1750.6,7.23807
1750.73,7.22835
1750.85,7.33089
1750.98,7.3661
1751.11,7.35601
1751.23,7.45827
1751.36,7.49324
1751.48,7.48297
1751.61,7.58506
1751.74,7.61991
1751.86,7.61066
1751.99,7.71341
1752.12,7.74864
1752.24,7.73733
1752.37,7.83868
1752.49,7.87298
1752.62,7.86221
1752.75,7.96395
1752.87,7.99853
1767.93,15.9971
1773.67,7.99853
1791.69,15.9971
1798.56,7.99853
1816.63,15.9971
1823.5,7.99853
1847.37,15.9971
1852.98,7.99853
1877.74,15.9971
1883.36,7.99853
1907.61,15.9971
1913.23,7.99853
1936.28,15.9971
1941.9,7.99853
1962.68,15.9971
1968.3,7.99853
1985.24,15.9971
1985.5,7.99853
