Time,Threshold
0.0,0
0.15424,4294967295
20.135,680
52.0557,729
927.366,835
941.235,877
954.347,903
961.661,881
967.838,862
1844.72,835
1858.59,876
1871.71,912
1879.02,876
1886.9,855
