Time,RTO
0.231544,1
0.916783,1.2425
1.02422,1.54082
1.1503,1.85498
1.27638,2.17365
1.40246,2.48925
1.52854,2.16805
1.59158,1.98344
1.71766,1.9671
1.96982,1.80236
2.0959,1.80528
2.22198,1.78031
2.34806,1.73894
2.47414,1.82877
2.60022,1.86407
2.7263,1.93335
2.91542,2.02475
3.0415,2.12977
3.16758,2.24242
3.29366,2.28764
3.41974,2.42895
3.54582,2.4911
3.6719,2.49935
3.79798,2.61372
3.92406,2.65634
4.05014,2.65056
4.17622,2.75493
4.3023,2.79053
4.42838,2.77987
4.55446,2.88094
4.68054,2.84348
4.80662,2.7852
4.9327,2.85683
5.05878,2.87365
5.18486,2.85398
5.31094,2.95273
5.43702,2.98942
5.5631,2.98314
5.68918,3.09061
5.81526,3.13155
5.94134,3.12756
6.06742,3.23595
6.1935,3.27578
6.31958,3.27045
6.44566,3.3774
6.57174,3.4169
6.69782,3.41088
6.8239,3.51694
6.94998,3.55541
7.07606,3.54946
7.20214,3.65519
7.32822,3.69311
7.4543,3.68533
7.58038,3.78956
7.70646,3.82623
7.83254,3.8174
7.95862,3.92076
8.0847,3.95669
8.21078,3.94725
8.33686,4.05007
8.46294,4.08443
8.58902,4.07499
8.7151,4.17776
8.84118,4.21315
8.96726,4.20322
9.09334,4.3056
9.21942,4.34068
9.3455,4.33048
9.47158,4.43266
9.59766,4.46756
9.72374,4.45723
9.84982,4.55929
9.9759,4.5941
10.102,4.58369
10.2281,4.68681
10.3541,4.7223
10.4802,4.71229
10.6063,4.8145
10.7324,4.84934
10.8585,4.83776
10.9845,4.93892
11.1106,4.97308
11.2367,4.96222
11.3628,5.0639
11.4889,5.09844
11.6149,5.08785
11.741,5.19084
11.8671,5.22625
11.9932,5.21619
12.1193,5.31837
12.2453,5.35319
12.3714,5.34272
12.4975,5.44462
12.6236,5.47924
12.7497,5.46865
12.8757,5.57046
13.0018,5.60503
13.1279,5.59329
13.254,5.69435
13.3801,5.7296
13.5061,5.71947
13.6322,5.82161
13.7583,5.85644
13.8844,5.846
14.0105,5.94793
14.1365,5.98261
14.2626,5.97206
14.3887,6.07392
14.5148,6.10855
14.6409,6.09798
14.7669,6.19982
14.893,6.23557
15.0191,6.22573
15.1452,6.32803
15.2713,6.36291
15.3973,6.35246
15.5234,6.45435
15.6495,6.48782
15.7756,6.47645
15.9017,6.57775
16.0277,6.61202
16.1538,6.60123
16.2799,6.70295
16.406,6.73752
16.5321,6.72807
16.6581,6.83067
16.7842,6.8658
16.9103,6.85555
17.0364,6.95758
17.1625,6.99231
17.2885,6.98177
17.4146,7.08361
17.5407,7.11821
17.6668,7.1076
17.7929,7.2094
17.9189,7.24285
18.045,7.23261
18.1711,7.33469
18.2972,7.36947
18.4233,7.359
18.5493,7.46091
18.6754,7.49557
18.8015,7.48502
18.9276,7.58688
19.0537,7.6215
19.1797,7.61093
19.3058,7.71277
19.4319,7.7474
19.558,7.73683
19.6841,7.8398
19.8101,7.87517
19.9362,7.86506
20.0623,7.96717
20.1884,8.00193
20.3145,7.99027
20.4405,8.09137
20.5666,8.12548
20.6927,8.11457
20.8188,8.2162
20.9449,8.25071
21.0709,8.24008
21.197,8.34304
36.9157,16.6861
42.1263,8.34304
72.919,16.6861
72.9603,8.34304
106.308,13.3352
106.624,16.2231
107.002,17.6388
107.191,18.0434
107.317,17.8277
107.443,17.1547
107.569,16.2026
107.695,15.2073
107.821,14.0455
107.948,12.9789
108.074,11.893
108.2,10.8285
108.326,9.81115
108.452,8.85662
108.578,7.97313
108.704,7.16299
108.83,6.42721
108.956,5.76322
109.082,5.1671
109.208,4.63413
109.334,4.16016
109.46,3.73879
109.587,3.36512
109.713,3.03442
109.839,2.74227
109.965,2.48453
110.091,2.25743
110.217,2.05755
110.343,1.88088
110.469,1.72588
110.595,1.58995
110.721,1.39819
110.847,1.25231
110.973,1.1411
111.1,1.05498
111.226,1
114.125,1.05293
114.252,1.08498
114.378,1.09857
114.504,1.10072
114.63,1.0953
114.756,1.08508
114.882,1.07202
115.008,1.05864
115.134,1.04437
115.26,1.02996
115.386,1.01592
115.512,1.00255
115.638,1
117.656,1.03777
117.782,1.12807
117.908,1.18358
118.034,1.21451
118.16,1.22949
118.286,1.23243
118.412,1.22737
118.538,1.21723
118.664,1.20407
118.79,1.18934
118.916,1.17403
119.043,1.15883
119.169,1.14305
119.295,1.12848
119.421,1.11515
119.547,1.10305
119.673,1.09214
119.799,1.08348
119.925,1.07546
120.051,1.06813
120.177,1.06147
120.303,1.05546
120.429,1.05006
120.556,1.04524
120.682,1.04094
120.808,1.03599
120.934,1.03187
121.06,1.02843
121.186,1.02553
121.312,1.0242
121.438,1.02285
121.564,1.02154
121.69,1.02028
121.816,1.16085
121.942,1.2523
122.068,1.30864
122.195,1.34019
122.321,1.35449
122.447,1.35588
122.573,1.34986
122.699,1.33917
122.825,1.32574
122.951,1.31206
123.077,1.29755
123.203,1.28295
123.329,1.26874
123.455,1.25524
123.581,1.24262
123.708,1.23098
123.834,1.22034
123.96,1.21069
124.086,1.20086
124.212,1.19233
124.338,1.1849
124.464,1.17957
124.59,1.17467
124.716,1.17022
124.842,1.1662
124.968,1.16258
125.094,1.15935
125.22,1.15647
125.347,1.15391
125.473,1.15163
125.599,1.1485
125.725,1.14599
125.851,1.14396
125.977,1.14233
126.103,1.14211
126.229,1.14175
126.355,1.1413
126.481,1.14081
126.607,1.28206
126.733,1.3741
126.86,1.43096
126.986,1.46297
127.093,1.45741
127.219,1.44706
127.345,1.43277
127.471,1.55918
133.712,2.58004
134.154,3.23719
134.343,3.63622
134.532,3.85339
134.721,3.94443
134.91,3.95097
135.099,3.90077
135.288,3.81489
135.477,3.70828
135.73,3.51941
135.856,3.35245
135.982,3.20509
136.108,3.00432
136.234,2.7728
136.36,2.62174
136.486,2.55599
136.612,2.54722
136.738,2.57502
136.864,2.56795
136.99,2.59334
137.179,2.58215
137.306,2.65755
137.432,2.78348
137.558,2.82445
137.684,2.80838
137.81,2.75539
137.936,2.6807
138.062,2.59231
138.188,2.49861
138.314,2.40435
138.44,2.31267
138.566,2.17042
138.692,2.16677
138.818,2.14001
138.945,2.09891
139.071,2.0497
139.197,1.99669
139.323,1.94285
139.449,1.89102
139.575,1.84122
139.701,1.81825
139.827,1.79364
139.953,1.76872
140.079,1.74437
140.205,1.72117
140.331,1.69943
140.458,1.67934
140.584,1.66096
140.71,1.64427
140.836,1.62922
140.962,1.61571
141.088,1.60363
141.214,1.59288
141.34,1.58332
141.466,1.57485
141.592,1.56736
141.718,1.56075
141.844,1.55492
141.97,1.54978
142.097,1.54526
142.223,1.54128
142.349,1.53779
142.475,1.53473
142.601,1.53203
142.727,1.52855
142.853,1.52687
142.979,1.52533
143.105,1.52394
143.231,1.52269
143.357,1.52156
