Time,Packets Lost,rxBytes,rxPackets,txBytes,txPackets
179,55,1107508,2827,1143180,2827
180,55,1113780,2843,1149452,2843
181,55,1120052,2859,1155724,2859
182,55,1126324,2875,1162388,2875
183,55,1132596,2891,1168660,2891
184,55,1138868,2907,1174148,2907
185,55,1144748,2922,1180420,2922
186,55,1151020,2938,1186692,2938
187,55,1157292,2954,1192964,2954
188,55,1163564,2970,1199628,2970
189,55,1169836,2986,1205900,2986
190,55,1176108,3002,1212172,3002
191,55,1182380,3018,1218444,3018
192,55,1188652,3034,1224716,3034
193,55,1194532,3049,1231380,3049
194,55,1200804,3065,1237652,3065
195,55,1207076,3081,1243924,3081
196,55,1213348,3097,1250196,3097
197,55,1219620,3113,1256468,3113
198,55,1225892,3129,1263132,3129
199,55,1232164,3145,1268620,3145
200,55,1238044,3160,1274892,3160
201,55,1244316,3176,1281164,3176
202,55,1250588,3192,1287436,3192
203,55,1256860,3208,1293708,3208
204,55,1263132,3224,1300372,3224
205,55,1269404,3240,1306644,3240
206,55,1275676,3256,1312916,3256
207,55,1281556,3271,1319188,3271
208,55,1287828,3287,1325460,3287
209,55,1294100,3303,1331732,3303
210,55,1300372,3319,1338396,3319
211,55,1306644,3335,1344668,3335
212,55,1312916,3351,1350940,3351
213,55,1319188,3367,1356428,3367
214,55,1325068,3382,1362700,3382
215,55,1331340,3398,1368972,3398
216,55,1337612,3414,1375636,3414
217,55,1343884,3430,1381908,3430
218,55,1350156,3446,1388180,3446
219,55,1356428,3462,1394452,3462
220,55,1362700,3478,1400724,3478
221,55,1368972,3494,1406996,3494
222,55,1374852,3509,1413660,3509
223,55,1381124,3525,1419932,3525
224,55,1387396,3541,1426204,3541
225,55,1393668,3557,1432476,3557
226,55,1399940,3573,1438748,3573
227,55,1406212,3589,1445020,3589
228,55,1412484,3605,1450900,3605
229,55,1418364,3620,1457172,3620
230,55,1424636,3636,1463444,3636
231,55,1430908,3652,1469716,3652
232,55,1437180,3668,1475988,3668
233,55,1443452,3684,1482260,3684
234,55,1449724,3700,1488924,3700
235,55,1455996,3716,1495196,3716
236,55,1461876,3731,1501468,3731
237,55,1468148,3747,1507740,3747
238,55,1474420,3763,1514012,3763
239,55,1480692,3779,1520284,3779
240,55,1486964,3795,1526948,3795
241,55,1493236,3811,1533220,3811
242,55,1499508,3827,1538708,3827
243,55,1505780,3843,1544980,3843
244,55,1511660,3858,1551252,3858
245,55,1517932,3874,1557524,3874
246,55,1524204,3890,1563796,3890
247,55,1530476,3906,1570460,3906
248,55,1536748,3922,1576732,3922
249,55,1543020,3938,1583004,3938
250,55,1549292,3954,1589276,3954
251,55,1555172,3969,1595548,3969
252,55,1561444,3985,1601820,3985
253,55,1567716,4001,1608092,4001
254,55,1573988,4017,1614756,4017
255,55,1580260,4033,1621028,4033
256,55,1586532,4049,1627300,4049
257,55,1592804,4065,1632788,4065
258,55,1598684,4080,1639060,4080
259,55,1604956,4096,1645332,4096
260,55,1611228,4112,1651604,4112
261,55,1617500,4128,1658268,4128
262,55,1623772,4144,1664540,4144
263,55,1630044,4160,1670812,4160
264,55,1636316,4176,1677084,4176
265,55,1642588,4192,1683356,4192
266,55,1648468,4207,1689628,4207
267,55,1654740,4223,1695900,4223
268,55,1661012,4239,1702564,4239
269,55,1667284,4255,1708836,4255
270,55,1673556,4271,1715108,4271
271,55,1679828,4287,1721380,4287
272,55,1686100,4303,1726868,4303
273,55,1691980,4318,1733140,4318
274,55,1698252,4334,1739412,4334
275,55,1704524,4350,1746076,4350
276,55,1710796,4366,1752348,4366
277,55,1717068,4382,1758620,4382
278,55,1723340,4398,1764892,4398
279,55,1729612,4414,1771164,4414
280,55,1735492,4429,1777436,4429
281,55,1741764,4445,1783708,4445
282,55,1748036,4461,1790372,4461
283,55,1754308,4477,1796644,4477
284,55,1760580,4493,1802916,4493
285,55,1766852,4509,1809188,4509
286,55,1773124,4525,1814676,4525
287,55,1779004,4540,1820948,4540
288,55,1785276,4556,1827220,4556
289,55,1791548,4572,1833492,4572
290,55,1797820,4588,1840156,4588
291,55,1804092,4604,1846428,4604
292,55,1810364,4620,1852700,4620
293,55,1816636,4636,1858972,4636
294,55,1822908,4652,1865244,4652
295,55,1828788,4667,1871516,4667
296,55,1835060,4683,1877788,4683
297,55,1841332,4699,1884452,4699
298,55,1847604,4715,1890724,4715
299,55,1853876,4731,1896996,4731
300,55,1860148,4747,1903268,4747
301,55,1866420,4763,1908756,4763
302,55,1872300,4778,1915028,4778
303,55,1878572,4794,1921300,4794
304,55,1884844,4810,1927964,4810
305,55,1891116,4826,1934236,4826
306,55,1897388,4842,1940508,4842
307,55,1903660,4858,1946780,4858
308,55,1909932,4874,1953052,4874
309,55,1915812,4889,1959324,4889
310,55,1922084,4905,1965596,4905
311,55,1928356,4921,1971868,4921
312,55,1934628,4937,1978140,4937
313,55,1940900,4953,1984804,4953
314,55,1947172,4969,1991076,4969
315,55,1953444,4985,1996564,4985
316,55,1959716,5001,2002836,5001
317,55,1965596,5016,2009108,5016
318,55,1971868,5032,2015380,5032
319,55,1978140,5048,2021652,5048
320,55,1984412,5064,2027924,5064
321,55,1990684,5080,2034196,5080
322,55,1996956,5096,2040860,5096
323,55,2003228,5112,2047132,5112
324,55,2009108,5127,2053404,5127
325,55,2015380,5143,2059676,5143
326,55,2021652,5159,2065948,5159
327,55,2027924,5175,2072220,5175
328,55,2034196,5191,2078492,5191
329,55,2040468,5207,2084764,5207
330,55,2046740,5223,2090644,5223
331,55,2052620,5238,2096916,5238
332,55,2058892,5254,2103188,5254
333,55,2065164,5270,2109460,5270
334,55,2071436,5286,2115732,5286
335,55,2077708,5302,2122004,5302
336,55,2083980,5318,2128276,5318
337,55,2090252,5334,2134548,5334
338,55,2096524,5350,2140820,5350
339,55,2102404,5365,2147484,5365
340,55,2108676,5381,2153756,5381
341,55,2114948,5397,2160028,5397
342,55,2121220,5413,2166300,5413
343,55,2127492,5429,2172572,5429
344,55,2133764,5445,2178060,5445
345,55,2140036,5461,2184332,5461
346,55,2145916,5476,2190604,5476
347,55,2152188,5492,2197268,5492
348,55,2158460,5508,2203540,5508
349,55,2164732,5524,2209812,5524
350,55,2171004,5540,2216084,5540
351,55,2177276,5556,2222356,5556
352,55,2183548,5572,2228628,5572
353,55,2189428,5587,2234900,5587
354,55,2195700,5603,2241172,5603
355,55,2201972,5619,2247444,5619
356,55,2208244,5635,2254108,5635
357,55,2214516,5651,2260380,5651
358,55,2220788,5667,2266652,5667
359,55,2227060,5683,2272140,5683
360,55,2232940,5698,2278412,5698
361,55,2239212,5714,2284684,5714
362,55,2245484,5730,2290956,5730
363,55,2251756,5746,2297228,5746
364,55,2258028,5762,2303892,5762
365,55,2264300,5778,2310164,5778
366,55,2270572,5794,2316436,5794
367,55,2276844,5810,2322708,5810
368,55,2282724,5825,2328980,5825
369,55,2288996,5841,2335252,5841
370,55,2295268,5857,2341524,5857
371,55,2301540,5873,2347796,5873
372,55,2307812,5889,2354068,5889
373,55,2314084,5905,2360732,5905
374,55,2320356,5921,2366220,5921
375,55,2326236,5936,2372492,5936
376,55,2332508,5952,2378764,5952
377,55,2338780,5968,2385036,5968
378,55,2345052,5984,2391308,5984
379,55,2351324,6000,2397580,6000
380,55,2357596,6016,2403852,6016
381,55,2363868,6032,2410124,6032
382,55,2369748,6047,2416788,6047
383,55,2376020,6063,2423060,6063
384,55,2382292,6079,2429332,6079
385,55,2388564,6095,2435604,6095
386,55,2394836,6111,2441876,6111
387,55,2401108,6127,2448148,6127
388,55,2407380,6143,2453636,6143
389,55,2413652,6159,2459908,6159
390,55,2419532,6174,2466572,6174
391,55,2425804,6190,2472844,6190
392,55,2432076,6206,2479116,6206
393,55,2438348,6222,2485388,6222
394,55,2444620,6238,2491660,6238
395,55,2450892,6254,2497932,6254
396,55,2457164,6270,2504204,6270
397,55,2463044,6285,2510476,6285
398,55,2469316,6301,2516748,6301
399,55,2475588,6317,2523412,6317
400,55,2481860,6333,2529684,6333
401,55,2488132,6349,2535956,6349
402,55,2494404,6365,2542228,6365
403,55,2500676,6381,2547716,6381
404,55,2506556,6396,2553988,6396
405,55,2512828,6412,2560260,6412
406,55,2519100,6428,2566532,6428
407,55,2525372,6444,2572804,6444
408,55,2531644,6460,2579076,6460
409,55,2537916,6476,2585740,6476
410,55,2544188,6492,2592012,6492
411,55,2550068,6507,2598284,6507
412,55,2556340,6523,2604556,6523
413,55,2562612,6539,2610828,6539
414,55,2568884,6555,2617100,6555
415,55,2575156,6571,2623372,6571
416,55,2581428,6587,2629644,6587
417,55,2587700,6603,2635132,6603
418,55,2593972,6619,2641404,6619
419,55,2599852,6634,2647676,6634
420,55,2606124,6650,2654340,6650
421,55,2612396,6666,2660612,6666
422,55,2618668,6682,2666884,6682
423,55,2624940,6698,2673156,6698
424,55,2631212,6714,2679428,6714
425,55,2637484,6730,2685700,6730
426,55,2643364,6745,2691972,6745
427,55,2649636,6761,2698244,6761
428,55,2655908,6777,2704516,6777
429,55,2662180,6793,2710788,6793
430,55,2668452,6809,2717060,6809
431,55,2674724,6825,2723724,6825
432,55,2680996,6841,2729212,6841
433,55,2686876,6856,2735484,6856
434,55,2693148,6872,2741756,6872
435,55,2699420,6888,2748028,6888
436,55,2705692,6904,2754300,6904
437,55,2711964,6920,2760572,6920
438,55,2718236,6936,2766844,6936
439,55,2724508,6952,2773116,6952
440,55,2730780,6968,2779388,6968
441,55,2736660,6983,2786052,6983
442,55,2742932,6999,2792324,6999
443,55,2749204,7015,2798596,7015
444,55,2755476,7031,2804868,7031
445,55,2761748,7047,2811140,7047
446,55,2768020,7063,2817412,7063
447,55,2774292,7079,2822900,7079
448,55,2780172,7094,2829172,7094
449,55,2786444,7110,2835444,7110
450,55,2792716,7126,2841716,7126
451,55,2798988,7142,2847988,7142
452,55,2805260,7158,2854652,7158
453,55,2811532,7174,2860924,7174
454,55,2817804,7190,2867196,7190
455,55,2823684,7205,2873468,7205
456,55,2829956,7221,2879740,7221
457,55,2836228,7237,2886012,7237
458,55,2842500,7253,2892284,7253
459,55,2848772,7269,2898556,7269
460,55,2855044,7285,2904828,7285
461,55,2861316,7301,2910316,7301
462,55,2867588,7317,2916588,7317
463,55,2873468,7332,2923252,7332
464,55,2879740,7348,2929524,7348
465,55,2886012,7364,2935796,7364
466,55,2892284,7380,2942068,7380
467,55,2898556,7396,2948340,7396
468,55,2904828,7412,2954612,7412
469,55,2911100,7428,2960884,7428
470,55,2916980,7443,2967156,7443
471,55,2923252,7459,2973428,7459
472,55,2929524,7475,2979700,7475
473,55,2935796,7491,2985972,7491
474,55,2942068,7507,2992636,7507
475,55,2948340,7523,2998908,7523
476,55,2954612,7539,3004396,7539
477,55,2960492,7554,3010668,7554
478,55,2966764,7570,3016940,7570
479,55,2973036,7586,3023212,7586
480,55,2979308,7602,3029484,7602
481,55,2985580,7618,3035756,7618
482,55,2991852,7634,3042028,7634
483,55,2998124,7650,3048300,7650
484,55,3004004,7665,3054964,7665
485,55,3010276,7681,3061236,7681
486,55,3016548,7697,3067508,7697
487,55,3022820,7713,3073780,7713
488,55,3029092,7729,3080052,7729
489,55,3035364,7745,3086324,7745
490,55,3041636,7761,3091812,7761
491,55,3047908,7777,3098084,7777
492,55,3053788,7792,3104356,7792
493,55,3060060,7808,3110628,7808
494,55,3066332,7824,3116900,7824
495,55,3072604,7840,3123564,7840
496,55,3078876,7856,3129836,7856
497,55,3085148,7872,3136108,7872
498,55,3091420,7888,3142380,7888
499,55,3097300,7903,3148652,7903
500,55,3103572,7919,3154924,7919
501,55,3109844,7935,3161196,7935
502,55,3116116,7951,3167468,7951
503,55,3122388,7967,3173740,7967
504,55,3128660,7983,3180012,7983
505,55,3134932,7999,3185500,7999
506,55,3140812,8014,3192164,8014
507,55,3147084,8030,3198436,8030
508,55,3153356,8046,3204708,8046
509,55,3159628,8062,3210980,8062
510,55,3165900,8078,3217252,8078
511,55,3172172,8094,3223524,8094
512,55,3178444,8110,3229796,8110
513,55,3184716,8126,3236068,8126
514,55,3190596,8141,3242340,8141
515,55,3196868,8157,3248612,8157
516,55,3203140,8173,3255276,8173
517,55,3209412,8189,3261548,8189
518,55,3215684,8205,3267820,8205
519,55,3221956,8221,3274092,8221
520,55,3228228,8237,3279580,8237
521,55,3234108,8252,3285852,8252
522,55,3240380,8268,3292124,8268
523,55,3246652,8284,3298396,8284
524,55,3252924,8300,3304668,8300
525,55,3259196,8316,3310940,8316
526,55,3265468,8332,3317212,8332
527,55,3271740,8348,3323876,8348
528,55,3277620,8363,3330148,8363
529,55,3283892,8379,3336420,8379
530,55,3290164,8395,3342692,8395
531,55,3296436,8411,3348964,8411
532,55,3302708,8427,3355236,8427
533,55,3308980,8443,3361508,8443
534,55,3315252,8459,3366996,8459
535,55,3321524,8475,3373268,8475
536,55,3327404,8490,3379540,8490
537,55,3333676,8506,3385812,8506
538,55,3339948,8522,3392476,8522
539,55,3346220,8538,3398748,8538
540,55,3352492,8554,3405020,8554
541,55,3358764,8570,3411292,8570
542,55,3365036,8586,3417564,8586
543,55,3370916,8601,3423836,8601
544,55,3377188,8617,3430108,8617
545,55,3383460,8633,3436380,8633
546,55,3389732,8649,3442652,8649
547,55,3396004,8665,3448924,8665
548,55,3402276,8681,3455196,8681
549,55,3408548,8697,3461076,8697
550,55,3414428,8712,3467348,8712
551,55,3420700,8728,3473620,8728
552,55,3426972,8744,3479892,8744
553,55,3433244,8760,3486164,8760
554,55,3439516,8776,3492436,8776
555,55,3445788,8792,3498708,8792
556,55,3452060,8808,3504980,8808
557,55,3457940,8823,3511252,8823
558,55,3464212,8839,3517524,8839
559,55,3470484,8855,3524188,8855
560,55,3476756,8871,3530460,8871
561,55,3483028,8887,3536732,8887
562,55,3489300,8903,3543004,8903
563,55,3495572,8919,3548492,8919
564,55,3501844,8935,3554764,8935
565,55,3507724,8950,3561036,8950
566,55,3513996,8966,3567308,8966
567,55,3520268,8982,3573580,8982
568,55,3526540,8998,3579852,8998
569,55,3532812,9014,3586124,9014
570,55,3539084,9030,3592788,9030
571,55,3545356,9046,3599060,9046
572,55,3551236,9061,3605332,9061
573,55,3557508,9077,3611604,9077
574,55,3563780,9093,3617876,9093
575,55,3570052,9109,3624148,9109
576,55,3576324,9125,3630420,9125
577,55,3582596,9141,3636692,9141
578,55,3588868,9157,3642180,9157
579,55,3594748,9172,3648452,9172
580,55,3601020,9188,3654724,9188
581,55,3607292,9204,3661388,9204
582,55,3613564,9220,3667660,9220
583,55,3619836,9236,3673932,9236
584,55,3626108,9252,3680204,9252
585,55,3632380,9268,3686476,9268
586,55,3638652,9284,3692748,9284
587,55,3644532,9299,3699020,9299
588,55,3650804,9315,3705292,9315
589,55,3657076,9331,3711564,9331
590,55,3663348,9347,3717836,9347
591,55,3669620,9363,3724108,9363
592,55,3675892,9379,3730380,9379
593,55,3682164,9395,3735868,9395
594,55,3688044,9410,3742140,9410
595,55,3694316,9426,3748804,9426
596,55,3700588,9442,3755076,9442
597,55,3706860,9458,3761348,9458
598,55,3713132,9474,3767620,9474
599,55,3719404,9490,3773892,9490
600,55,3725676,9506,3780164,9506
601,55,3731556,9521,3786436,9521
602,55,3737828,9537,3792708,9537
603,55,3744100,9553,3798980,9553
604,55,3750372,9569,3805252,9569
605,55,3756644,9585,3811524,9585
606,55,3762916,9601,3817796,9601
607,55,3769188,9617,3823284,9617
608,55,3775068,9632,3829556,9632
609,55,3781340,9648,3836220,9648
610,55,3787612,9664,3842492,9664
611,55,3793884,9680,3848764,9680
612,55,3800156,9696,3855036,9696
613,55,3806428,9712,3861308,9712
614,55,3812700,9728,3867580,9728
615,55,3818972,9744,3873852,9744
616,55,3824852,9759,3880124,9759
617,55,3831124,9775,3886396,9775
618,55,3837396,9791,3892668,9791
619,55,3843668,9807,3898940,9807
620,55,3849940,9823,3905212,9823
621,55,3856212,9839,3911484,9839
622,55,3862484,9855,3916972,9855
623,55,3868364,9870,3923244,9870
624,55,3874636,9886,3929908,9886
625,55,3880908,9902,3936180,9902
626,55,3887180,9918,3942452,9918
627,55,3893452,9934,3948724,9934
628,55,3899724,9950,3954996,9950
629,55,3905996,9966,3961268,9966
630,55,3911876,9981,3967540,9981
631,55,3918148,9997,3973812,9997
632,55,3924420,10013,3980084,10013
633,55,3930692,10029,3986356,10029
634,55,3936964,10045,3992628,10045
635,55,3943236,10061,3998900,10061
636,55,3949508,10077,4004388,10077
637,55,3955780,10093,4010660,10093
638,55,3961660,10108,4017324,10108
639,55,3967932,10124,4023596,10124
640,55,3974204,10140,4029868,10140
641,55,3980476,10156,4036140,10156
642,55,3986748,10172,4042412,10172
